cin,company_name,roc,company_category,company_sub_category,class_of_company,authorized_capital,paid_up_capital,date_of_incorporation,registered_office_address,listing_status,company_status,state,country_of_incorporation,company_type_code,activity_description,scraped_at
U55101AN2011PTC005362,BAY WATCH HOTEL & RESORT PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,5000000.00,2310000.00,2011-04-07,"DA BAY INN S S ROAD, HADDO,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,55101,Trading,2025-06-05T02:15:25.133340
U55209AN2018PTC005408,SANDBAR BEACH RESORTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2018-05-28,"SURVEY NO.- 365/5 BATHUBASTI, GARACHARMA,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,55209,Trading,2025-06-05T02:15:25.238680
U93110AN2023PTC006059,CRAFTOPIA TRADERS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-11-22,"SY NO 74/5/3, DHANIKHARI,VILLAGE,FERRARGUNJ TEHSIL,Port Blair,South Andaman,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,93110,"Community, personal and Social Services",2025-06-05T02:15:25.360418
U75111AN2016GOI005309,PORT BLAIR SMART PROJECTS LIMITED,ROC Andaman,Company limited by shares,Union government company,Public,10000000.00,1000000.00,2016-07-27,"PBMC, CRC BUILDING DAIRYFARM, PORT BLAIR,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,75111,"Community, personal and Social Services",2025-06-05T02:15:25.477426
U45208AN2013PLC000202,ANID PROJECTS LIMITED,ROC Andaman,Company limited by shares,Non-government company,Public,500000.00,500000.00,2013-07-26,"GOAL GHAR,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,45208,Construction,2025-06-05T02:15:25.596453
U46301AN2023PTC006025,AMMAN POULTRY PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,1500000.00,2023-08-08,"C/O MACCAPAHAD BEODNABAD,(PO) SOUTH,Port Blair,South Andaman,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,46301,Trading,2025-06-05T02:15:25.702649
U88900AN2024NPL006098,GSLKB UMBRELLA MARINE EDUCATION AND RESEARCH FOUNDATION,ROC Andaman,Company limited by guarantee,Non-government company,Private,0.00,0.00,2024-05-21,"511/2 TANK ROAD,NEAR MARIYAMMAN TEMPLE,Portblair,South Andaman,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,88900,"Community, personal and Social Services",2025-06-05T02:15:25.826576
U92412AN2018PTC005391,DEGREE CELSIUS TOURISM PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,200000.00,200000.00,2018-01-11,"2nd Floor, Round Basthi, Aberdeen Village South Andaman,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,92412,"Community, personal and Social Services",2025-06-05T02:15:25.986653
U92490AN2016PTC005303,KP GAMES AND EATERIES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,2000000.00,100000.00,2016-06-03,"SCHOOL LINE SOUTH ANDAMAN,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,92490,"Community, personal and Social Services",2025-06-05T02:15:26.126482
U74999AN2017PTC005356,COLOURS OF EMERALD ISLANDS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2017-05-31,"HADDO (BACK TEL. MEDIUM SCHOOL) PORT BLAIR,SOUTH ANDAMAN,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,74999,Business Services,2025-06-05T02:15:26.219804
