cin,company_name,roc,company_category,company_sub_category,class_of_company,authorized_capital,paid_up_capital,date_of_incorporation,registered_office_address,listing_status,company_status,state,country_of_incorporation,company_type_code,activity_description,scraped_at
U31909DL1998PTC097626,GRAND ELECTROVISION PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1000000.00,578000.00,1998-12-23,"CB-19-BOPP-RBI FLATES SHALIMAR BAGH,NEW DELHI,Delhi,110052-India",Unlisted,Strike Off,delhi,Indian,31909,Manufacturing (Machinery and Equipments),2025-06-05T02:16:05.644730
U99999DL1982PTC014719,VIKRAM KAPOOR AND CO PVT LTD,ROC Delhi,Company limited by shares,Non-government company,Private,500000.00,0.00,1982-11-18,"1478, KRISHNA LODGE, MOTICINEMA, CHANDNI CHOWK DELHI,NA,Delhi,000000-India",Unlisted,Strike Off,delhi,Indian,99999,"Community, personal and Social Services",2025-06-05T02:16:05.734421
U31909DL1999PTC100491,JET ELECTRO-MECH ENGINEERING PVT LTD,ROC Delhi,Company limited by shares,Non-government company,Private,1000000.00,550000.00,1999-07-01,"E-67, Ground Floor Pandav Nagar,Delhi,East Delhi,Delhi,110091-India",Unlisted,Active,delhi,Indian,31909,Manufacturing (Machinery and Equipments),2025-06-05T02:16:05.824446
U31909DL1999PTC102253,HYPERSONIC COMMERCIAL SUPPLIES DIVISION PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000.00,100000.00,1999-11-02,"201 SARINE SONIA SADANG-11 COMMERFCIAL COMPLEX, VIKAS PURI,NEW DELHI.,Delhi,110018-India",Unlisted,Strike Off,delhi,Indian,31909,Manufacturing (Machinery and Equipments),2025-06-05T02:16:05.913345
U99999DL1983PTC015128,KULDIP AND SHIV PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,500000.00,76400.00,1983-02-02,"9A- RAM NAGAR, EXENSION -II,,NEW DELHI.,Delhi,000000-India",Unlisted,Strike Off,delhi,Indian,99999,"Community, personal and Social Services",2025-06-05T02:16:06.029721
U99999DL1983PTC016396,RAMA TEXTILE PRINTING FACTORY PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000.00,20000.00,1983-08-23,"A116 MADHUBAN, -,NEW DELHI,Delhi,110092-India",Unlisted,Strike Off,delhi,Indian,99999,"Community, personal and Social Services",2025-06-05T02:16:06.130515
U31909DL2001PTC256411,LUMAX DK ELECTRIC ENGINEERING INDIA PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,161000000.00,161000000.00,2001-07-06,"B-86, MAYAPURI INDUSTRIAL AREA, PHASE-I,,NEW DELHI,West Delhi,Delhi,110064-India",Unlisted,Amalgamated,delhi,Indian,31909,Manufacturing (Machinery and Equipments),2025-06-05T02:16:06.254374
U31909DL2002PTC118115,SHRI PARAM HANS ELECTRICALS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,400000.00,370000.00,2002-12-19,"G-14, AGGARWAL PLAZA COMPLEX, SFS POCKET DR. MUKHERJEE NAGAR,DELHI,Delhi,110009-India",Unlisted,Active,delhi,Indian,31909,Manufacturing (Machinery and Equipments),2025-06-05T02:16:06.375584
U99999DL1983PTC016497,SPECIALITY RESINS PVT LTD,ROC Delhi,Company limited by shares,Non-government company,Private,200000.00,0.00,1983-09-07,"B-9, ANAND NIKETAN, NEWDELHI-27.,NA,Delhi,000000-India",Unlisted,Strike Off,delhi,Indian,99999,"Community, personal and Social Services",2025-06-05T02:16:06.496716
U31909DL2003PTC119332,ANANDI ELECTRICALS AND ELECTRONICS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2003-03-10,"6/24 GALI NO-4VISHWAS NAGAR SHAHDARA,DELHI,Delhi,110032-India",Unlisted,Active,delhi,Indian,31909,Manufacturing (Machinery and Equipments),2025-06-05T02:16:06.608610
