cin,company_name,roc,company_category,company_sub_category,class_of_company,authorized_capital,paid_up_capital,date_of_incorporation,registered_office_address,listing_status,company_status,state,country_of_incorporation,company_type_code,activity_description,scraped_at
U39000GA2024PTC016401,EXPRESS RECYCLING INDUSTRIES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,150000.00,150000.00,2024-02-06,"Shop No. 6, Kapson,Building, plot no.1,Salcete,South Goa,Goa,403602-India",Unlisted,Active,goa,Indian,39000,Construction,2025-06-05T02:15:45.741808
U67190GA1996PLC002111,TECHCONS MANAGEMENT AND PROJECT FINANCE (INDIA) LIMITED,ROC Goa,Company limited by shares,Non-government company,Public,20000000.00,700000.00,1996-06-10,"E-03, ANNETTE BEACH APARTMENTSKHOBRA VADDO CALANGUTE BAGA BARDEZ,GOA,Goa,000000-India",Unlisted,Active,goa,Indian,67190,Finance,2025-06-05T02:15:45.831541
U67190GA2002PTC003092,FOCUS DIRECT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,700000.00,2002-04-22,"1120HOUSING BOARD COLONY ALTO PORVORIM,GOA,North Goa,Goa,403521-India",Unlisted,Active,goa,Indian,67190,Finance,2025-06-05T02:15:45.929839
U68100GA2023OPC016149,W.DINIZ (OPC) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,One Person Company,50000.00,50000.00,2023-09-16,"Sry. No. 97/2,,Katem, Mulem,,Quepem,South Goa,Goa,403705-India",Unlisted,Active,goa,Indian,68100,Real Estate and Renting,2025-06-05T02:15:46.017654
U68100GA2024PTC016467,MA REALTY GREEN HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2024-03-10,"Office no- 601, 6th floor,Santro Pedro Vazz buildin,Bardez,North Goa,Goa,403507-India",Unlisted,Active,goa,Indian,68100,Real Estate and Renting,2025-06-05T02:15:46.129712
U68100GA2024PTC016739,VINEYARD ESTATES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2024-07-30,"Room No.3 1st Flr StPeter,Bldg opp Mapusa Clinic,Bardez,North Goa,Goa,403507-India",Unlisted,Active,goa,Indian,68100,Real Estate and Renting,2025-06-05T02:15:46.230370
U68200GA2023PTC015885,SAINT MORTIZ REAL ESTATE PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2023-04-21,"H.No. B413/UG/A-02 U,Brindavan Appt, Volant,Tiswadi,North Goa,Goa,403114-India",Unlisted,Active,goa,Indian,68200,Real Estate and Renting,2025-06-05T02:15:46.320573
U68200GA2025PTC017242,SRN FINTECH PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,300000.00,2025-04-16,"HOUSE NO 215/1 804 8TH,FL SANCOALE NR MES CLG,Mormugao,South Goa,Goa,403726-India",Unlisted,Active,goa,Indian,68200,Real Estate and Renting,2025-06-05T02:15:46.415569
U69202GA2024PTC016390,SBPATIL CONSULTANCY PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2024-02-05,"T2 BELARMINO APPT GAUNSA,WADDO NEAR MELAGRESCHURCH,Bardez,North Goa,Goa,403507-India",Unlisted,Active,goa,Indian,69202,"Community, personal and Social Services",2025-06-05T02:15:46.511366
U70100GA2012PTC007002,SALELKAR REAL ESTATES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-07-26,"SHOP NO. 10, PREMABAI ENCLAVE, ST. JOQUIM ROAD NEAR GOA STATE CO-OPERATIVE BANK, BORDA,MARGAO,South Goa,Goa,403602-India",Unlisted,Strike Off,goa,Indian,70100,Real Estate and Renting,2025-06-05T02:15:46.609570
