cin,company_name,roc,company_category,company_sub_category,class_of_company,authorized_capital,paid_up_capital,date_of_incorporation,registered_office_address,listing_status,company_status,state,country_of_incorporation,company_type_code,activity_description,scraped_at
U01100MH2023PTC397418,NAVANKUR KRUSHI MITRA PRODUCER COMPANY LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,455000.00,2023-01-11,"C/o URMILA DESHAMUKH, WARUDA ROAD, WARUDA ROAD, POST COLONY,,OSMANABAD,Osmanabad,Maharashtra,413501-India",Unlisted,Active,maharashtra,Indian,01100,Agriculture and Allied Activities,2025-06-05T02:16:25.671688
U01100MH2023PTC397645,SUMIT SHINDE FARMER PRODUCER COMPANY LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-01-16,"C/O SHRI ASARAM BAJIRAO AT DEVPIMPRI,TQ GEORAI,DIST BEED,GEORAI,Bid,Maharashtra,431122-India",Unlisted,Active,maharashtra,Indian,01100,Agriculture and Allied Activities,2025-06-05T02:16:25.770572
U01100MH2023PTC398075,QUALITY INTERNATIONAL AGROTECH FARMER PRODUCER COMPANY LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000.00,100000.00,2023-01-20,"C/O SHRI/SOW SK GANI SK KADAR SILLOD SILLOD 431112,Aurangabad,Aurangabad,Maharashtra,431112-India",Unlisted,Active,maharashtra,Indian,01100,Agriculture and Allied Activities,2025-06-05T02:16:25.859795
U45500PN2021PTC198576,SIDDHANATH AND ERANDE PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,800000.00,800000.00,2021-02-12,"GNO. 161, WASUD, TAL, SANGOLA, DTS. SOLAPUR,SOLAPUR,Solapur,Maharashtra,413307-India",Unlisted,Active,maharashtra,Indian,45500,Construction,2025-06-05T02:16:25.950387
U45500PN2021PTC199777,GAIKWAD INFRASTRUCTURE PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2021-03-24,"Building J, Flat no. 702, Nancy Lake Homes, Pune Satara Road,,Pune,Pune,Maharashtra,411046-India",Unlisted,Active,maharashtra,Indian,45500,Construction,2025-06-05T02:16:26.040653
U45500PN2021PTC206996,SONAI BUILDCON PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-12-16,"FLAT NO. 9, AKANSHA APT., ASHOKNAGAR, BARAMATI,,PUNE,Pune,Maharashtra,413102-India",Unlisted,Active,maharashtra,Indian,45500,Construction,2025-06-05T02:16:26.129869
U45500PN2022PTC213404,SADGURU KRUPA ENGINEERING PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,500000.00,100000.00,2022-07-25,"GAT NO 37, FLAT NO B-605, CENTRAL PARK RESIDENCY, SPINE ROAD, MOSHI,PUNE,Pune,Maharashtra,412105-India",Unlisted,Active,maharashtra,Indian,45500,Construction,2025-06-05T02:16:26.221463
U45990MH1993PTC070398,BOMBAY SAMRAT INVESTMENT AND FINANCE PVT.LTD.,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,0.00,1993-01-14,"4 SAILOR BLDG., 373 D N ROAD,BOMBAY -1.,MUMBAI,Maharashtra,000000-India",Unlisted,Strike Off,maharashtra,Indian,45990,Construction,2025-06-05T02:16:26.310970
U46101MH2023PTC398176,SWAPNGANDH FARMER PRODUCER COMPANY LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2023-02-19,"CO VILAS SAHEBRAO BAHEKAR, AT.POST.KINHOLA,Buldana,Buldhana,Maharashtra,443001-India",Unlisted,Active,maharashtra,Indian,46101,Trading,2025-06-05T02:16:26.401552
U46101MH2023PTC416172,ADHVI PRODUCTS SOLUTION INDIA PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,50000.00,2023-12-28,"S. No.113/2, Divya Park,,Nr Rajyog Petrolpump Walh,Pune City,Pune,Maharashtra,411033-India",Unlisted,Active,maharashtra,Indian,46101,Trading,2025-06-05T02:16:26.491396
